TYPE_OF_DAY,TIME_OF_DAY,PROCESS,USER_LEVEL,SUSPICIOUS
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,afternoon,telnetd,no_euid,FALSE
NON_WORKING,evening,telnetd,no_euid,FALSE
NON_WORKING,night,telnetd,no_euid,FALSE
NON_WORKING,night,telnetd,no_euid,FALSE
NON_WORKING,early morning,telnetd,no_euid,FALSE
NON_WORKING,early morning,telnetd,no_euid,FALSE
NON_WORKING,early morning,syslogd,no_euid,FALSE
NON_WORKING,early morning,syslogd,no_euid,FALSE
NON_WORKING,early morning,syslogd,no_euid,FALSE
NON_WORKING,early morning,syslogd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,TRUE
NON_WORKING,early morning,ftpd,no_euid,TRUE
